Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Piazza San Marco,"30100 Venezia VE",45.434238,12.338606,"San Marco",Exact,US Census
Capital Community College,950 Main St Hartford CT 06103,41.768074,-72.673065,"950 MAIN ST, HARTFORD, CT, 06103",Exact,US Census
University of Hartford,"200 Bloomfield Ave, West Hartford CT 06117",41.794655,-72.71764,"200 BLOOMFIELD AVE, WEST HARTFORD, CT, 06117",Exact,US Census
